iteration,keygen_ms,sign_ms,verify_ms,keygen_samples,sign_samples,verify_samples
1,25.487628,7.947941999999983,6.94717399999999,[],[],[]
2,13.779989,9.301135999999985,7.107128000000046,[],[],[]
3,14.643350999999996,8.984287999999992,7.287889000000007,[],[],[]
4,13.794078000000013,8.595601000000102,7.4675150000000485,[],[],[]
5,8.26889600000004,6.324155000000019,9.27375799999993,[],[],[]
6,7.049539999999979,8.763239999999996,6.018284999999992,[],[],[]
7,5.987964000000034,6.126980000000003,5.7864190000000235,[],[],[]
8,7.660466999999926,6.609421999999995,5.97208599999999,[],[],[]
9,13.512050999999929,8.810091000000057,7.963115000000016,[],[],[]
10,13.517460999999912,9.092124999999896,7.121034000000009,[],[],[]
11,7.654962000000069,5.9246250000001055,5.7668999999998505,[],[],[]
12,13.154158000000052,9.070069000000103,7.5242289999998775,[],[],[]
13,13.192448000000013,8.973177000000078,7.059025999999903,[],[],[]
14,5.754354999999805,5.674510999999939,5.486139999999978,[],[],[]
15,13.414365000000089,8.760281999999961,7.362091000000191,[],[],[]
16,13.09958800000004,9.107168000000001,7.273458000000119,[],[],[]
17,13.426292999999987,8.70348100000001,7.799331000000166,[],[],[]
18,13.172978999999941,8.914374000000407,7.0796229999996285,[],[],[]
19,11.413959000000432,7.947321999999986,7.3853250000001935,[],[],[]
20,10.976563999999598,8.282064999999875,7.626418999999714,[],[],[]
