iteration,keygen_ms,sign_ms,verify_ms,keygen_samples,sign_samples,verify_samples
1,11.248002999999699,8.347455999999966,6.956633999999667,[],[],[]
2,11.923656999999821,8.279379000000063,7.422067999999854,[],[],[]
3,6.338559000000259,6.713378999999804,9.899597999999969,[],[],[]
4,18.13569699999971,6.774887999999919,6.229048000000148,[],[],[]
5,7.01269400000001,6.684032000000116,7.306095999999798,[],[],[]
6,10.193303000000014,7.061721000000034,6.765836000000036,[],[],[]
7,9.518391000000065,8.200986000000285,6.702174000000014,[],[],[]
8,11.178834000000279,7.276909999999589,6.627610000000004,[],[],[]
9,13.776531999999861,9.311200999999983,7.410807000000204,[],[],[]
10,13.760240000000067,8.696582000000035,7.236014000000068,[],[],[]
11,13.148114000000078,9.561701000000085,7.9639139999999315,[],[],[]
12,13.890723999999864,8.606890000000021,7.249475999999959,[],[],[]
13,7.847372999999607,7.961180999999669,6.196947000000364,[],[],[]
14,10.973149000000376,7.721276000000216,6.536835999999312,[],[],[]
15,13.471953000000212,9.00974000000042,7.662384999999631,[],[],[]
16,13.198392999999669,9.515219999999317,7.195350999999391,[],[],[]
17,13.303650999999263,8.638450000000375,7.3824869999998555,[],[],[]
18,13.225957999999991,8.654449000000568,7.210469999999987,[],[],[]
19,13.119606999999633,8.890680999999859,7.181717999999819,[],[],[]
20,13.084689000000253,9.037297000000763,7.093823999999586,[],[],[]
